Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10601283,1,"Friday, November 16, 2012 09:51:21 UTC",60.0489,-152.8433,3.3,111.40,67,"Southern Alaska"
us,c000dti9,A,"Friday, November 16, 2012 08:25:57 UTC",35.2311,141.0455,5.3,34.70,399,"near the east coast of Honshu, Japan"
us,c000dthk,3,"Friday, November 16, 2012 06:24:42 UTC",-53.9956,-134.6819,5.3,10.10,107,"Pacific-Antarctic Ridge"
us,c000dth6,6,"Friday, November 16, 2012 06:05:41 UTC",-7.9754,-74.3300,4.3,151.90,87,"northern Peru"
ci,15245897,1,"Friday, November 16, 2012 04:44:36 UTC",34.7607,-117.4965,2.7,0.10,103,"Southern California"
us,c000dtgd,9,"Friday, November 16, 2012 03:58:26 UTC",38.4635,46.7171,4.9,5.20,127,"northwestern Iran"
us,c000dtg5,6,"Friday, November 16, 2012 03:04:59 UTC",13.9417,-92.4205,4.4,57.40,44,"offshore Guatemala"
us,c000dten,8,"Friday, November 16, 2012 00:38:06 UTC",-21.5156,-69.4104,5.1,56.40,268,"Antofagasta, Chile"
us,c000dtef,8,"Friday, November 16, 2012 00:21:58 UTC",-13.2826,-76.4943,4.7,47.60,94,"near the coast of central Peru"
us,c000dteb,6,"Friday, November 16, 2012 00:07:35 UTC",-25.2013,179.7711,4.4,502.80,78,"south of the Fiji Islands"
us,c000dtcj,6,"Thursday, November 15, 2012 22:19:09 UTC",-20.5184,-175.1158,4.8,35.20,57,"Tonga"
us,c000dtbz,7,"Thursday, November 15, 2012 22:10:25 UTC",-0.0266,123.4665,4.7,159.00,44,"Sulawesi, Indonesia"
us,c000dtbj,5,"Thursday, November 15, 2012 21:55:15 UTC",-16.8446,-175.0596,4.7,260.30,56,"Tonga"
ci,15245769,2,"Thursday, November 15, 2012 21:54:04 UTC",31.7757,-116.1813,2.7,10.00,21,"Baja California, Mexico"
us,c000dt7v,6,"Thursday, November 15, 2012 20:32:36 UTC",-32.6570,-71.8159,4.8,20.90,51,"offshore Valparaiso, Chile"
nc,71887081,1,"Thursday, November 15, 2012 20:18:34 UTC",36.4890,-121.0647,2.5,1.50,28,"Central California"
us,c000dt2m,5,"Thursday, November 15, 2012 16:33:03 UTC",-3.5090,149.7226,4.8,1.00,19,"Bismarck Sea"
mb,12785478,2,"Thursday, November 15, 2012 16:23:00 UTC",44.6943,-112.4705,2.5,10.10,62,"western Montana"
us,c000dt13,6,"Thursday, November 15, 2012 15:47:08 UTC",-25.9033,178.2942,4.8,635.10,170,"south of the Fiji Islands"
pr,12320001,0,"Thursday, November 15, 2012 14:38:46 UTC",18.2882,-65.3805,2.7,14.00,11,"Puerto Rico region"
ak,10600745,1,"Thursday, November 15, 2012 12:48:59 UTC",59.4648,-154.8230,2.6,202.40,13,"Southern Alaska"
ak,10600726,2,"Thursday, November 15, 2012 11:50:10 UTC",57.5542,-142.8660,3.7,10.00,24,"Gulf of Alaska"
us,c000dszb,D,"Thursday, November 15, 2012 11:22:22 UTC",52.4852,173.3539,5.6,30.00,524,"Near Islands, Aleutian Islands, Alaska"
ak,10600699,1,"Thursday, November 15, 2012 10:55:16 UTC",57.6737,-154.5602,2.8,37.40, 9,"Kodiak Island region, Alaska"
us,c000dsz5,4,"Thursday, November 15, 2012 10:40:27 UTC",15.2304,-93.1956,4.3,74.20,67,"offshore Chiapas, Mexico"
ak,10600682,1,"Thursday, November 15, 2012 09:37:14 UTC",60.7714,-148.9884,2.8,32.90,48,"Kenai Peninsula, Alaska"
us,c000dsyl,7,"Thursday, November 15, 2012 09:20:23 UTC",18.4069,-100.3734,6.0,60.90,518,"Guerrero, Mexico"
us,c000dsye,5,"Thursday, November 15, 2012 08:21:49 UTC",-3.2503,148.1763,5.7,10.00,148,"Bismarck Sea"
us,c000dsy2,9,"Thursday, November 15, 2012 08:01:01 UTC",14.0779,-91.6282,4.8,35.00,273,"offshore Guatemala"
ak,10600646,1,"Thursday, November 15, 2012 07:24:53 UTC",57.3229,-156.3310,2.7,122.70,11,"Alaska Peninsula"
us,c000dsxl,9,"Thursday, November 15, 2012 06:42:38 UTC",14.2215,-92.3074,4.9,35.20,275,"offshore Guatemala"
us,c000dsx2,E,"Thursday, November 15, 2012 04:58:59 UTC",19.1233,145.8164,4.9,124.60,170,"Maug Islands region, Northern Mariana Islands"
ak,10600601,1,"Thursday, November 15, 2012 03:39:29 UTC",59.4543,-152.7516,2.5,69.30,20,"Southern Alaska"
us,c000dsvv,4,"Thursday, November 15, 2012 01:36:38 UTC",43.9711,39.1083,4.1,18.00,21,"Caucasus region, Russia"
us,c000dsvr,5,"Thursday, November 15, 2012 01:30:39 UTC",27.4912,140.0814,4.4,485.10,128,"Bonin Islands, Japan region"
us,2012hzae,6,"Thursday, November 15, 2012 00:25:52 UTC",39.6266,73.5230,4.2,52.60,16,"Kyrgyzstan"
us,2012hzac,6,"Thursday, November 15, 2012 00:00:28 UTC",32.8774,92.3179,4.0,10.00,17,"Xizang-Qinghai border region"
us,c000dsu0,2,"Thursday, November 15, 2012 00:00:06 UTC",-5.8023,151.7226,4.8,8.80,42,"New Britain region, Papua New Guinea"
